device,capability,dtype,timing_mode,energy_meter,include_copies,M,K,N,B,seq_repeats,bmm_repeats,sequential_time_ms,sequential_gflops,sequential_energy_j,sequential_duration_s,sequential_mean_w,sequential_peak_w,sequential_j_per_gflop,batched_time_ms,batched_gflops,batched_energy_j,batched_duration_s,batched_mean_w,batched_peak_w,batched_j_per_gflop,speedup_seq_over_batched,energy_ratio_seq_over_batched
cuda,Orin,float16,cuda_events,tegrastats,False,512,512,512,1,18736,11955,0.08285161514347379,3239.9544116931393,0.0013618121087217532,1.517291649011895,16.81550000000004,16.832,0.005073145436949108,0.03749823097602337,7158.616527047357,0.0007831611204572705,0.42109689908102155,22.232379310344825,22.266,0.002917502524172032,2.2094806338050907,1.7388658261362888
cuda,Orin,float16,cuda_events,tegrastats,False,512,512,512,2,4669,8075,0.1645881160982009,3261.90568752654,0.003035020105724862,0.736763256136328,19.23232000000002,19.256,0.00565316547774684,0.08589704672987616,6250.16729257665,0.0018711701845535835,0.6618976679164916,22.81377777777778,24.665,0.0034853260676443267,1.9161091372068664,1.6219904158257765
cuda,Orin,float16,cuda_events,tegrastats,False,512,512,512,4,3283,5119,0.3316837418852802,3237.2458713136934,0.006285891748345935,1.0553637419361621,19.554000000000006,19.554,0.0058541928868237275,0.16650627897828554,6448.6566548041665,0.0037911009291795926,0.8158165849745274,23.755690909090912,24.959,0.003530737877990671,1.9920194236551034,1.6580649963614194
cuda,Orin,float16,cuda_events,tegrastats,False,512,512,512,8,1880,2966,0.6628941962059508,3239.5571726092026,0.012668383504385176,1.2182291930075735,19.550195121951255,19.554,0.00589917577076013,0.33520192964930673,6406.537248299046,0.007810636113538251,0.9618182280100882,24.056390625000002,24.959,0.003637110867322539,1.977596599457171,1.6219400469094885
cuda,Orin,float16,cuda_events,tegrastats,False,512,512,512,16,1021,1620,1.3193704902133325,3255.3155674305976,0.025256355060507107,1.3091104999184608,19.69790909090912,19.698,0.005880453405088537,0.6887151270736883,6236.202933786389,0.015890828582024372,1.0834039540495723,23.750845070422546,24.969,0.003699871846946043,1.9156984337185436,1.5893667803500802
