device,capability,dtype,timing_mode,energy_meter,include_copies,M,K,N,B,seq_repeats,bmm_repeats,sequential_time_ms,sequential_gflops,sequential_energy_j,sequential_duration_s,sequential_mean_w,sequential_peak_w,sequential_j_per_gflop,batched_time_ms,batched_gflops,batched_energy_j,batched_duration_s,batched_mean_w,batched_peak_w,batched_j_per_gflop,speedup_seq_over_batched,energy_ratio_seq_over_batched
cuda,NVIDIA GeForce RTX 3060,float32,cuda_events,nvml,False,1024,1024,1024,1,3415,3477,0.2774833533983803,7739.144066479827,0.03276020171944952,0.9384425460593775,119.21455319148936,119.493,0.015255157705140073,0.2504726933239862,8573.723624324317,0.02997631788929062,0.8677715189987794,120.11051724137931,120.343,0.013958810777073082,1.107838741684531,1.0928694391499454
cuda,NVIDIA GeForce RTX 3060,float32,cuda_events,nvml,False,1024,1024,1024,2,1789,2538,0.5573862842370039,7705.548947763048,0.06670847884599472,0.9888549239840358,120.68730303030303,120.788,0.015531778066883497,0.3773322980924325,11382.453391116525,0.0476809434904549,0.948577070957981,127.60247368421054,138.98,0.011101584762906399,1.4771761841083235,1.3990595395694903
cuda,NVIDIA GeForce RTX 3060,float32,cuda_events,nvml,False,1024,1024,1024,4,893,1309,1.1200851320819918,7669.001530297256,0.13657572286579747,0.9990473790094256,122.07856,122.095,0.01589950673116807,0.7459248192352225,11515.81817696727,0.09519756126311422,0.9685154979815707,128.70872164948452,143.878,0.011082454731584784,1.5016059302469467,1.4346556892179112
cuda,NVIDIA GeForce RTX 3060,float32,cuda_events,nvml,False,1024,1024,1024,8,447,698,2.2383278114950365,7675.314176847548,0.27454413022987595,0.9990096279652789,122.84293,122.881,0.015980571638203454,1.4147087906014952,12143.749510947473,0.1829430022035215,0.9790116270305589,130.49268367346937,149.823,0.0106486842387543,1.5821827264841983,1.500708564542138
cuda,NVIDIA GeForce RTX 3060,float32,cuda_events,nvml,False,1024,1024,1024,16,223,360,4.4769418485496075,7674.823468866701,0.5493571409279212,0.9888196240644902,123.89153535353536,123.908,0.015988397089762182,2.7589786105685765,12453.789324926685,0.36934701062544,0.9891112570185214,134.4967676767677,158.586,0.010749412776944228,1.6226808832080757,1.4873740009365664
cuda,NVIDIA GeForce RTX 3060,float32,cuda_events,nvml,False,1024,1024,1024,32,112,181,8.992110116141182,7642.196975840621,1.1065602480057346,0.9988965400261804,124.07152,124.109,0.016102570924060047,5.561280645718232,12356.771958435298,0.7530242639532555,0.9991247869329527,136.46120000000002,158.016,0.010957945253951117,1.6169135652350923,1.4694881705357972
